x,y,e
0,0,5.88
0,4,5.36
0,8,5.22
0,12,4.98
0,16,4.53
0,20,4.2
0,24,3.61
4,0,5.78
4,4,5.46
4,8,5.35
4,12,5.15
4,16,4.67
4,20,4.21
4,24,3.38
8,0,5.75
8,4,5.67
8,8,5.71
8,12,5.5
8,16,4.99
8,20,4.3
8,24,3
12,0,6.03
12,4,6
12,8,6.11
12,12,6.09
12,16,5.62
12,20,4.3
12,24,3.58
16,0,6.32
16,4,6.33
16,8,6.62
16,12,7.13
16,16,6.25
16,20,5.2
16,24,4.27
20,0,6.48
20,4,6.52
20,8,6.88
20,12,8.47
20,16,6.74
20,20,5.57
20,24,4.57
